adjustment_source,forecast_source,projection_label,segment_id,segment_name,year,value_type,employment_auto,employment_raw,auto_share_ratio,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2022,QCEW,177138,177138,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2022,QCEW,110573,110573,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2022,QCEW,67706,67706,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2022,QCEW,49197,49197,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2023,QCEW,21625.6694,73569,0.293950841,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2023,QCEW,6394.270739,48876,0.130826392,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2023,QCEW,9391.518582,17055,0.55066072,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2023,QCEW,15119.80529,50818,0.297528539,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2023,QCEW,6261.752202,18726,0.334388134,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2023,QCEW,1018.848095,123111,0.008275849,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2023,QCEW,179115,179115,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2023,QCEW,114410,114410,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2023,QCEW,69189,69189,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2023,QCEW,49037,49037,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2024,QCEW,21247.66879,72604,0.29265149,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2024,QCEW,6244.586843,47550,0.131326747,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2024,QCEW,9023.139595,16337,0.552313129,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2024,QCEW,14936.44449,50443,0.296105396,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2024,QCEW,5987.024881,18283,0.327464031,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2024,QCEW,1032.025505,120207,0.008585403,,271.3244241,17750,0.173243409
sam_mi,bls_us,BLS US,7,7. Core Automotive,2024,QCEW,173082,173082,1,,,,
sam_mi,bls_us,BLS US,8,"8. Motor Vehicle Parts, Materials, & Products Sales",2024,QCEW,115340,115340,1,,,,
sam_mi,bls_us,BLS US,9,"9. Dealers, Maintenance, & Repair",2024,QCEW,69600,69600,1,,,,
sam_mi,bls_us,BLS US,10,10. Logistics,2024,QCEW,46889,46889,1,,,,
sam_mi,bls_us,BLS US,1,1. Materials & Processing,2025,QCEW,20928.03176,70604,0.296414251,,,,
sam_mi,bls_us,BLS US,2,2. Equipment Manufacturing,2025,QCEW,6089.070013,45958,0.132492058,,,,
sam_mi,bls_us,BLS US,3,3. Forging & Foundries,2025,QCEW,8874.553682,15947,0.556503021,,,,
sam_mi,bls_us,BLS US,4,4. Parts & Machining,2025,QCEW,14602.46596,49289,0.296262167,,,,
sam_mi,bls_us,BLS US,5,5. Component Systems,2025,QCEW,5948.051176,17831,0.333579226,,,,
sam_mi,bls_us,BLS US,6,6. Engineering & Design,2025,QCEW,1012.884669,116864,0.008667209,,,,
sam_mi,bls_us,BLS US,7,7. Core Automotive,2025,QCEW,166447,166447,1,,,,
