ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
514,Local government passenger transit,324441249.2798,2143115.786852738,0.006605558915859378
23,Iron ore mining,78413989.34,2065524.7057291858,0.026341278171336892
405,Newspaper publishers,375730641.07909,2045596.287497861,0.0054443158578255805
250,Fabricated pipe and pipe fitting manufacturing,152329433.849664,2042059.3884063351,0.013405547022656642
402,Scenic and sightseeing transportation and support activities for transportation,1898480792.1178,2033473.9191598697,0.0010711058692837664
44,"Water, sewage and other systems",154071196.525,2026945.9241349115,0.013155904347156893
217,"Nonferrous metal, except copper and aluminum, shaping",14922456.0242182,1925426.0299468357,0.12902876221058995
389,Retail - Food and beverage stores,7533876199.0,1898456.1284466116,0.00025198929187323266
32,Metal mining services,33462036.558000002,1869626.9026075713,0.055873075727681215
505,Business and professional associations,1264520751.0,1866358.3809158942,0.0014759412840318776
121,Leather and hide tanning and finishing,7720906.9098959,1860637.6688783842,0.2409869320524512
140,Paper bag and coated and treated paper manufacturing,29115739.01682964,1717376.402214754,0.058984468888873695
230,Metal window and door manufacturing,130225983.81845959,1600364.5391250462,0.012289133798029284
226,Handtool manufacturing,17588233.641079098,1569680.871770823,0.08924607802028935
293,Audio and video equipment manufacturing,4803904.2316459995,1539567.225496085,0.32048249741410245
387,Retail - Electronics and appliance stores,968254174.48,1523244.0518895925,0.0015731861447513503
304,Totalizing fluid meter and counting device manufacturing,3450389.8171456996,1466935.9891736242,0.4251507994499973
215,Nonferrous metal (exc aluminum) smelting and refining,6044049.3648962,1440077.386354328,0.23826367049850522
110,Textile and fabric finishing mills,5732942.3141942,1432603.3910334012,0.2498897272150143
348,Wood kitchen cabinet and countertop manufacturing,35583314.916933,1307637.8967211894,0.036748625016353516
158,Artificial and synthetic fibers and filaments manufacturing,2596598.0755651,1269795.5366760686,0.489022751971239
245,Plumbing fixture fitting and trim manufacturing,29381027.9892342,1264643.4682310016,0.04304285979014732
134,Prefabricated wood building manufacturing,133953549.35982999,1220617.8105277526,0.009112246867374099
360,Surgical appliance and supplies manufacturing,121796258.562324,1216601.0873068615,0.009988821509523777
212,Secondary smelting and alloying of aluminum,5063271.885256001,1178618.765243332,0.23277809131194632
489,"Hotels and motels, including casino hotels",188324479.47551998,1143607.1974126657,0.006072536085577348
327,Truck trailer manufacturing,101073083.35085799,1098638.0729740188,0.010869739366318567
344,Boat building,283459995.001133,1091419.1971929134,0.003850346491357805
260,All other industrial machinery manufacturing,278574601.678657,1060507.7142852626,0.003806907406112298
169,Soap and other detergent manufacturing,261414082.358104,1060192.8303320669,0.0040556071837007535
368,Sign manufacturing,90193315.838837,1040186.4706156135,0.01153285541108482
